date_scrape,search_word,channel_subs,views,num_comments,num_likes,unique_channels
2021-03-14,dot crypto,645000.0,232608.0,2270.0,211.0,2
2021-03-14,cardano,580900.0,316624.0,3215.222222222222,335.3,10
2021-03-14,dogecoin,,,,,1
2021-03-14,bitcoin,1912078.0,1066596.3,3741.5714285714284,800.6,10
2021-03-14,litecoin,187100.0,89257.33333333333,901.6666666666666,76.83333333333333,6
2021-03-15,stellar crypto,98844.44444444444,52221.4,642.2,53.6,10
2021-03-15,bitcoin,1676582.0,1735144.6,5050.4,602.6,5
2021-03-15,dot crypto,350570.0,86776.8,991.4444444444445,88.5,10
2021-03-15,ethereum,588380.0,314090.5,3032.7,394.5,10
2021-03-15,cosmos crypto,180500.0,84122.83333333333,1184.0,66.83333333333333,6
2021-03-15,dogecoin,3449566.6666666665,658310.8333333334,3545.8333333333335,781.0,6
2021-03-15,cardano,584100.0,319407.6,3223.8888888888887,336.8,10
2021-03-15,algorand,143359.0,25893.1,411.3,23.3,10
2021-03-15,ripple,262480.0,175859.2,1746.4,226.4,5
2021-03-15,litecoin,180566.66666666666,73831.88888888889,985.0,67.11111111111111,9
2021-03-18,ethereum,730700.0,311591.6,3194.9,15040.0,10
2021-03-18,stellar crypto,147581.0,60414.4,541.6666666666666,2737.1,10
2021-03-18,litecoin,159466.66666666666,66584.55555555556,1122.857142857143,3288.8888888888887,9
2021-03-18,bitcoin,1571609.0,827801.6,4777.8,22530.0,10
2021-03-18,ripple,233800.0,139263.6,1503.4444444444443,6180.0,10
2021-03-18,dot crypto,321240.0,95740.0,945.8,5070.0,10
2021-03-18,cosmos crypto,176220.0,56808.6,649.8888888888889,3070.0,10
2021-03-18,cardano,588800.0,318374.5,2757.9,15000.0,10
2021-03-18,algorand,136422.0,30609.2,356.6666666666667,1310.4,10
2021-03-18,dogecoin,1967817.0,398372.5,2000.1,18650.0,10
2021-03-19,bitcoin,1789000.0,699875.9,4649.2,19110.0,10
2021-03-19,stellar crypto,181566.66666666666,79478.16666666667,600.2,3283.3333333333335,6
2021-03-19,algorand,136631.0,31605.3,421.0,1343.5,10
2021-03-19,cosmos crypto,128020.0,48870.3,393.8,2524.5,10
2021-03-19,litecoin,121522.22222222222,45836.333333333336,642.0,2270.0,10
2021-03-19,ripple,307000.0,153215.14285714287,985.7142857142857,4685.714285714285,7
2021-03-19,dogecoin,2088986.0,415238.5,835.875,20820.1,10
2021-03-19,cardano,634200.0,388128.6,3692.0,18200.0,5
2021-03-19,ethereum,820833.3333333334,355612.8333333333,4000.4,17000.0,6
2021-03-19,dot crypto,323550.0,97294.6,824.8571428571429,5110.0,10
2021-03-20,bitcoin,1405236.3636363635,580827.6363636364,4138.545454545455,21445.454545454544,11
2021-03-20,dot crypto,325950.0,98872.7,995.8888888888889,5140.0,10
2021-03-20,litecoin,124360.0,47233.7,761.9,2280.0,10
2021-03-20,dogecoin,607285.0,195891.4,886.6,7890.2,10
2021-03-20,cosmos crypto,128730.0,48956.0,504.6666666666667,2524.9,10
2021-03-20,cardano,595900.0,322546.7,2768.8,15300.0,10
2021-03-20,ethereum,738000.0,317822.0,3235.3,15140.0,10
2021-03-20,ripple,275740.0,141273.6,1186.8,5420.0,10
2021-03-20,algorand,138236.0,32648.8,414.22222222222223,1396.5,10
2021-03-20,stellar crypto,96992.0,41581.6,504.0,2177.2,10
2021-03-21,litecoin,117900.0,59926.0,865.0,2440.0,5
2021-03-21,cosmos crypto,136990.0,47979.6,651.25,2565.4,10
2021-03-21,stellar crypto,101666.66666666667,45925.166666666664,688.0,2366.6666666666665,6
2021-03-21,dogecoin,558181.1111111111,196931.7,840.1,7910.2,10
2021-03-21,bitcoin,1485116.0,674117.6,4786.4,22600.0,10
2021-03-21,cardano,639800.0,396871.4,3682.0,18800.0,5
2021-03-21,ripple,372800.0,161119.875,861.75,4362.5,8
2021-03-21,algorand,189265.7142857143,44261.71428571428,563.5,1810.0,7
2021-03-21,dot crypto,359966.6666666667,103709.66666666667,971.625,5566.666666666667,9
2021-03-21,ethereum,792000.0,350677.14285714284,2808.5,16428.571428571428,7
2021-03-22,cardano,603300.0,326596.6,2949.0,15300.0,10
2021-03-22,litecoin,147900.0,62563.0,1139.0,2900.0,5
2021-03-22,stellar crypto,101850.0,46068.833333333336,429.25,2366.6666666666665,6
2021-03-22,dot crypto,405112.5,119309.5,1407.8,6200.0,8
2021-03-22,filecoin,178000.0,50767.0,198.0,2600.0,1
2021-03-22,ripple,311640.0,157051.1,1006.6666666666666,5610.0,10
2021-03-22,bitcoin,1771375.0,583780.875,5916.6,20250.0,8
2021-03-22,ethereum,813000.0,362115.6666666667,4370.5,16500.0,6
2021-03-22,cosmos crypto,195700.0,85025.0,625.5,4433.333333333333,6
2021-03-22,algorand,186287.14285714287,41147.42857142857,543.75,1709.4285714285713,7
2021-03-22,dogecoin,819780.0,249244.42857142858,1032.6,12914.285714285714,7
2021-03-23,dogecoin,591809.0,210695.5,938.8,10450.0,10
2021-03-23,litecoin,144380.0,43702.2,732.3,2400.0,10
2021-03-23,bitcoin,3114800.0,841370.2,6600.1,46220.0,10
2021-03-23,stellar crypto,99724.0,40506.0,511.5,2177.4,10
2021-03-23,algorand,136677.0,31608.1,387.6,1362.0,10
2021-03-23,ethereum,730600.0,314509.4,3039.0,14100.0,10
2021-03-23,cosmos crypto,126700.0,43030.3,503.8888888888889,2398.1,10
2021-03-23,cardano,617000.0,329012.6,2674.3,15600.0,10
2021-03-23,dot crypto,333000.0,113048.0,978.8888888888889,5570.0,10
2021-03-23,ripple,311760.0,160355.2,1193.2,5540.0,10
2021-03-24,ethereum,820666.6666666666,366045.6666666667,4844.0,16666.666666666668,6
2021-03-24,ripple,322037.5,168323.5,1185.6,5500.0,8
2021-03-24,dot crypto,335250.0,114734.8,1241.142857142857,5600.0,10
2021-03-24,litecoin,144770.0,43832.4,720.8333333333334,2400.0,10
2021-03-24,dogecoin,481191.0,195445.6,974.3333333333334,8930.0,10
2021-03-24,algorand,128356.0,25063.5,163.2,1067.5,10
2021-03-24,cosmos crypto,119799.0,42858.4,647.8571428571429,2283.6,10
2021-03-24,cardano,642500.0,384992.8333333333,3806.5,17666.666666666668,6
2021-03-24,bitcoin,2956900.0,846175.9,7981.375,46970.0,10
2021-03-24,stellar crypto,106171.42857142857,44569.857142857145,487.6666666666667,2400.0,7
2021-03-25,cosmos crypto,120652.0,42853.1,505.0,2284.7,10
2021-03-25,dogecoin,481554.0,169965.7,878.3333333333334,8060.0,10
2021-03-25,dot crypto,348720.0,110312.8,1004.3333333333334,5280.0,10
2021-03-25,stellar crypto,86574.0,38480.2,366.8,1953.2,10
2021-03-25,litecoin,146310.0,43928.7,722.5,2400.0,10
2021-03-25,ripple,312080.0,158976.2,1072.0,5480.0,10
2021-03-25,algorand,128828.0,24784.2,403.25,1076.2,10
2021-03-25,bitcoin,2957700.0,852735.9,6214.714285714285,47070.0,10
2021-03-25,ethereum,742000.0,318477.0,1789.2,14680.0,10
2021-03-25,cardano,614900.0,333254.6,2630.4285714285716,15280.0,10
2021-03-26,dogecoin,474375.0,171422.7,783.1,7510.0,10
2021-03-26,cosmos crypto,167137.0,45488.2,571.5,2568.8,10
2021-03-26,stellar crypto,84634.0,39790.9,487.44444444444446,2006.2,10
2021-03-26,ripple,312280.0,148414.9,1147.9,4920.0,10
2021-03-26,algorand,132182.0,23792.1,335.55555555555554,1039.5,10
2021-03-26,dot crypto,356444.44444444444,114746.3,989.1,4960.0,10
2021-03-26,litecoin,177939.3,66474.1,942.6,3413.7,10
2021-03-26,cardano,638100.0,323238.5,2618.8,15280.0,10
2021-03-26,bitcoin,1302000.0,531065.3,4435.1,19880.0,10
2021-03-26,ethereum,671600.0,281360.5,2371.4,12530.0,10
2021-03-27,chainlink,245170.0,78043.3,943.8,4450.0,10
2021-03-27,bitcoin,1322500.0,529110.3,4467.0,20280.0,10
2021-03-27,tezos,24186.4,7853.3,59.1,316.6,10
2021-03-27,algorand,131793.33333333334,23156.666666666668,308.9,1040.0,10
2021-03-27,ethereum,668888.8888888889,288133.3333333333,2583.0,12811.111111111111,9
