date_scrape,user_name,retweet_count,favorite_count,account_followers,unique_users
2021-03-16,StellarOrg,50.7,211.8,445385.0,10
2021-03-16,LTCFoundation,65.22222222222223,314.3333333333333,151148.0,9
2021-03-16,Bitcoin,816.7,5597.5,1691176.0,10
2021-03-16,Ripple,294.2,1244.2,1269803.0,10
2021-03-16,cosmos,31.7,126.4,84374.0,10
2021-03-16,Cardano,70.6,469.3,306372.0,10
2021-03-16,ethereum,303.5,1161.5,800598.0,2
2021-03-17,LTCFoundation,71.55555555555556,336.44444444444446,151382.0,9
2021-03-17,ethereum,300.0,1152.5,802741.0,2
2021-03-17,cosmos,24.4,96.6,84364.0,10
2021-03-17,Algorand,40.2,193.1,69191.0,10
2021-03-17,Polkadot,125.0,600.1666666666666,229422.0,6
2021-03-17,Cardano,71.5,477.7,310643.0,10
2021-03-17,Bitcoin,802.2,5492.9,1698425.0,10
2021-03-17,dogecoin,783.8571428571429,6397.714285714285,663729.0,7
2021-03-17,StellarOrg,54.1,233.5,447922.0,10
2021-03-17,Ripple,226.5,1017.5,1272926.0,10
2021-03-18,Cardano,72.4,481.1,315725.0,10
2021-03-18,Bitcoin,808.8,5507.9,1707644.0,10
2021-03-18,ethereum,301.0,1154.5,806815.0,2
2021-03-18,Polkadot,126.0,603.0,231609.0,6
2021-03-18,dogecoin,783.8571428571429,6394.714285714285,666090.0,7
2021-03-18,LTCFoundation,73.0,341.875,151729.0,8
2021-03-18,cosmos,21.5,87.5,85323.0,10
2021-03-18,Ripple,182.2,860.2,1276179.0,10
2021-03-18,StellarOrg,60.8,261.7,449977.0,10
2021-03-18,Algorand,45.5,210.8,69837.0,10
2021-03-19,Cardano,78.1,514.2,319294.0,10
2021-03-19,cosmos,22.1,91.4,86102.0,10
2021-03-19,LTCFoundation,89.85714285714286,424.57142857142856,151983.0,7
2021-03-19,Bitcoin,810.7,5515.0,1716856.0,10
2021-03-19,Algorand,45.2,209.9,70159.0,10
2021-03-19,Polkadot,123.0,595.1666666666666,233149.0,6
2021-03-19,dogecoin,783.8571428571429,6391.857142857143,668172.0,7
2021-03-19,Ripple,138.3,786.7,1278538.0,10
2021-03-19,ethereum,299.5,1151.5,810261.0,2
2021-03-19,StellarOrg,60.8,264.2,451175.0,10
2021-03-20,dogecoin,782.4285714285714,6392.571428571428,670066.8571428572,7
2021-03-20,ethereum,301.5,1152.0,814108.0,2
2021-03-20,LTCFoundation,83.75,400.0,152302.0,8
2021-03-20,cosmos,22.4,93.6,87138.0,10
2021-03-20,Polkadot,129.5,617.3333333333334,236211.0,6
2021-03-20,Cardano,80.1,526.8,322513.4,10
2021-03-20,StellarOrg,61.1,264.9,452649.0,10
2021-03-20,Ripple,194.7,969.7,1281717.0,10
2021-03-20,Bitcoin,814.8,5521.4,1725520.8,10
2021-03-20,Algorand,44.7,216.8,70661.0,10
2021-03-21,LTCFoundation,89.71428571428571,435.2857142857143,152599.0,7
2021-03-21,ethereum,301.5,1152.0,819721.0,2
2021-03-21,Polkadot,129.83333333333334,619.3333333333334,239311.0,6
2021-03-21,Ripple,221.4,1066.0,1285254.7,10
2021-03-21,cosmos,25.7,105.2,88101.0,10
2021-03-21,StellarOrg,61.4,265.2,454078.0,10
2021-03-21,Cardano,81.2,530.9,326570.0,10
2021-03-21,dogecoin,782.4285714285714,6392.142857142857,671932.0,7
2021-03-21,Algorand,47.5,228.0,71173.0,10
2021-03-21,Bitcoin,817.2,5529.2,1735850.0,10
2021-03-22,Bitcoin,820.9,5534.3,1745349.0,10
2021-03-22,StellarOrg,68.6,290.5,455257.0,10
2021-03-22,cosmos,30.5,120.2,88843.0,10
2021-03-22,Polkadot,121.42857142857143,587.0,242232.0,7
2021-03-22,Ripple,215.0,1003.8,1288872.0,10
2021-03-22,Cardano,88.9,569.2,330180.0,10
2021-03-22,Algorand,46.0,217.9,71552.6,10
2021-03-22,ethereum,302.0,1151.0,823930.0,2
2021-03-22,dogecoin,782.5714285714286,6390.857142857143,673462.2857142857,7
2021-03-22,LTCFoundation,90.57142857142857,440.0,152858.0,7
2021-03-23,Cardano,90.0,559.3,332742.0,10
2021-03-23,StellarOrg,82.6,339.8,455897.0,10
2021-03-23,Algorand,43.7,200.1,71954.0,10
2021-03-23,cosmos,32.8,127.4,89347.0,10
2021-03-23,Ripple,222.3,1016.7,1291615.0,10
2021-03-23,LTCFoundation,93.5,455.5,153062.0,6
2021-03-23,Polkadot,126.14285714285714,623.2857142857143,245178.0,7
2021-03-23,Bitcoin,786.4,5340.9,1752235.0,10
2021-03-23,dogecoin,1027.8,8386.0,674652.0,5
2021-03-23,ethereum,52.0,228.0,827311.0,2
2021-03-24,Ripple,266.6,1142.1,1295364.0,10
2021-03-24,LTCFoundation,87.83333333333333,389.3333333333333,153365.0,6
2021-03-24,Cardano,102.25,607.25,336638.0,4
2021-03-24,Polkadot,144.0,717.8333333333334,247531.0,6
2021-03-24,dogecoin,1028.4,8385.4,676824.0,5
2021-03-24,ethereum,35.0,186.0,831853.0,1
2021-03-24,Algorand,59.7,251.0,72474.0,10
2021-03-24,StellarOrg,86.6,346.9,457697.0,10
2021-03-24,Bitcoin,735.5,4840.0,1764387.4,10
2021-03-24,cosmos,25.5,99.5,90298.3,10
2021-03-25,LTCFoundation,93.5,434.0,153621.0,6
2021-03-25,dogecoin,1028.6,8386.6,678610.0,5
2021-03-25,cosmos,39.5,152.5,90878.0,10
2021-03-25,StellarOrg,97.375,376.75,458688.0,8
2021-03-25,Cardano,106.0,628.0,339735.0,2
2021-03-25,Bitcoin,761.7,5136.4,1775317.0,10
2021-03-25,Polkadot,136.25,666.0,249774.0,8
2021-03-25,Ripple,280.4,1127.7,1297796.9,10
2021-03-25,Algorand,57.0,251.0,72931.0,10
2021-03-25,ethereum,37.0,187.0,835314.0,1
2021-03-26,Algorand,67.0,282.0,73450.0,10
2021-03-26,dogecoin,1027.4,8383.2,679881.0,5
2021-03-26,LTCFoundation,93.66666666666667,435.8333333333333,153839.0,6
2021-03-26,Polkadot,138.875,677.5,252135.0,8
2021-03-26,cosmos,54.9,217.5,91581.0,10
2021-03-26,ethereum,39.0,189.0,838403.0,1
2021-03-26,Bitcoin,774.4,5225.7,1783934.0,10
2021-03-26,Cardano,106.0,697.3333333333334,342980.0,3
2021-03-26,Ripple,207.5,870.1,1300287.0,10
2021-03-26,StellarOrg,93.28571428571429,378.7142857142857,459543.28571428574,7
2021-03-27,StellarOrg,94.42857142857143,385.42857142857144,460643.0,7
2021-03-27,Cardano,116.33333333333333,779.0,345297.0,3
2021-03-27,cosmos,8.4,32.3,92262.0,10
2021-03-27,Algorand,75.2,303.9,73971.0,10
2021-03-27,monero,35.9,187.0,377367.8,10
2021-03-27,Ripple,227.6,952.7,1302996.0,10
2021-03-27,Filecoin,51.6,243.6,62535.0,10
2021-03-27,chainlink,180.7,767.9,203761.0,10
2021-03-27,dogecoin,1027.0,8382.6,681314.0,5
2021-03-27,ethereum,38.0,191.0,841493.0,1
2021-03-27,Polkadot,141.625,690.375,254473.0,8
2021-03-27,Bitcoin,778.0,5240.4,1793709.1,10
2021-03-27,tezos,40.4,196.8,97239.0,10
2021-03-27,LTCFoundation,81.0,384.57142857142856,154037.0,7
2021-03-27,MakerDAO,8.3,35.7,127054.0,10
2021-03-27,Tronfoundation,98.75,385.75,665851.0,8
2021-03-27,block_one_,52.5,189.2,206163.0,10
2021-03-28,tezos,45.9,211.9,97576.0,10
2021-03-28,Filecoin,26.9,119.1,63720.0,10
