date_scrape,coin_name,r_subscribers,r_comments,r_upvotes,r_upvote_ratio,r_unique_posts,t_retweets,t_favorites,t_followers,t_unique_users,y_subscribers,y_views,y_comments,y_likes,y_unique_channels,price
2021-04-15,tezos,41749,15.236,62.17,0.9344599999999998,500,39,138.875,102782,8,33772.5,7444.555555555556,53.666666666666664,340.44444444444446,9,6.811093807220459
2021-04-16,tezos,41907,15.48,63.03,0.9354000000000012,500,50.2,184.1,103277,10,30857.14285714286,8161,76.85714285714286,409.625,8,7.234021186828613
2021-04-17,tezos,42059,15.616,63.71,0.93436,500,53.9,197.5,103618,10,27162.222222222223,7634.2,53.5,370.3,10,7.137826919555664
2021-04-18,tezos,42209,15.574,64.292,0.9361600000000012,500,57,202.9,103964,10,24708,5573.7,63.4,364.1,10,6.1657609939575195
2021-04-19,tezos,42313,15.54,63.612,0.9355600000000018,500,56.5,208,104280,8,24890,5640.3,63.7,366.3,10,5.463685035705566
2021-04-20,tezos,42475,15.676,65.068,0.9355800000000002,500,51.4,196.4,104593,5,25037,5689.5,70.22222222222223,368.3,10,5.697752952575684
2021-04-21,tezos,42656,15.464,65.11,0.93844,500,54.5,205,104961,4,28465,6176,62,431.25,8,5.349398136138916
2021-04-22,tezos,42831,15.474,65.302,0.9371200000000008,500,54,156,105249,1,53880,12459.4,136.5,969.8,10,4.937912940979004
2021-04-23,tezos,42935,15.46,64.924,0.9376800000000004,500,33.333333333333336,104,105472,3,54136,15341.2,165.625,1129.4,10,4.811355113983154
2021-04-24,tezos,43063,15.372,65.606,0.93922,500,38,122.66666666666669,105723,3,54990,15068,245.1428571428571,1040.3,10,4.4359002113342285
2021-04-25,tezos,43181,15.456,65.836,0.9396400000000004,500,60.75,177,105975,4,55420,15248.3,172.11111111111111,1070.7,10,4.443976879119873
2021-04-26,tezos,43310,15.132,66.174,0.9393000000000004,500,79.2,240.6,106392,5,60011.11111111111,16536.222222222223,201,1154.6666666666667,9,5.224985122680664
2021-04-27,tezos,43437,15.056,66.354,0.9399,500,73.16666666666667,235.5,106731,6,73450,21936,275.8333333333333,1598.3333333333333,6,5.430026054382324
2021-04-28,tezos,43534,15.218,66.812,0.9406199999999996,500,75.2,251.2,107077,5,54136,15341.2,165.625,1129.4,10,5.246065139770508
2021-03-09,stellar,159363,96.85170340681364,107.37274549098196,0.9604809619238474,499,45.5,191.5,707044,10,78786.66666666667,57068.1,541.8,77.1,10,0.43264999985694885
2021-03-10,stellar,159631,97.16032064128257,108.19639278557116,0.9609619238476949,499,45.5,191.5,707044,10,79254.44444444444,57297.1,549.4444444444445,78,10,0.410768985748291
2021-03-11,stellar,159848,97.0440881763527,108.32064128256512,0.9592585170340676,499,45.5,191.5,707044,10,127407,72180.2,626.6,89.2,10,0.4059000015258789
